srodowisko;klucz;metoda_kluczowania;wc_id_prod;wc_id_srodowiska;sku_obecny;ean_docelowy;zrodlo_decyzji;blok;cennik_lp;nazwa_wc_prod;nazwa_w_srodowisku;status
PROD;GV-131;SKU;175;175;GV-131;5903317643197;KANDYDAT_1;A;78;Maść żywokostowa z olejem CBD 140ml;Maść żywokostowa z olejem CBD 140ml;DO_ZAPISU
PROD;GV-33;SKU;18;18;GV-33;8594011210104;KANDYDAT_1;A;11;Artrofit 3w1 60 kapsułek;Artrofit 3w1 60 kapsułek;DO_ZAPISU
PROD;GV-22;SKU;12;12;GV-22;5907636994152;KANDYDAT_1;A;1;Acerola 500mg 60 kapsułek;Acerola 500mg 60 kapsułek;DO_ZAPISU
PROD;GV-74;SKU;193;193;GV-74;5907636994909;KANDYDAT_1;A;96;Puder Rodzinny Pielęgnacyjny 50 ml;Puder Rodzinny Pielęgnacyjny 50 ml;DO_ZAPISU
PROD;GV-104;SKU;79;79;GV-104;5907636994138;KANDYDAT_1;A;100;Rokitnik i Acerola 60 kapsułek;Rokitnik i Acerola 60 kapsułek;DO_ZAPISU
PROD;GV-143;SKU;67;67;GV-143;5903317643203;KANDYDAT_1;A;79;Olej CBD w Kapsułkach 60 kapsułek;Olej CBD w Kapsułkach 60 kapsułek;DO_ZAPISU
PROD;GV-94;SKU;216;216;GV-94;5907636994459;KANDYDAT_1;A;122;Żel z Żywkostem 200 ml;Żel z Żywkostem 200 ml;DO_ZAPISU
PROD;GV-78;SKU;201;201;GV-78;5907636994336;KANDYDAT_1;A;105;Venal Żel 150 ml;Venal Żel 150 ml;DO_ZAPISU
PROD;GV-96;SKU;222;222;GV-96;5907636994435;KANDYDAT_1;B;124;Żel Żywokostowy z Jałowcem i MSM 200 ml;Żel Żywokostowy z Jałowcem i MSM 200 ml;DO_ZAPISU
PROD;GV-50;SKU;63;63;GV-50;5907636994299;KANDYDAT_1;B;49;KUDZU 60 kapsułek;KUDZU 60 kapsułek;DO_ZAPISU
PROD;GV-37;SKU;105;105;GV-37;5907636994145;KANDYDAT_1;B;18;Balsam z Konopii 5% CBD 200 ml;Balsam z Konopii 5% CBD 200 ml;DO_ZAPISU
PROD;GV-43;SKU;43;43;GV-43;5907636994817;KANDYDAT_1;B;34;Colahial 60 kapsułek;Colahial 60 kapsułek;DO_ZAPISU
PROD;GV-93;SKU;220;220;GV-93;5907636994473;KANDYDAT_1;B;121;Żel Żywokostowy z Boswellią 200 ml;Żel Żywokostowy z Boswellią 200 ml;DO_ZAPISU
PROD;GV-126;SKU;155;155;GV-126;5903317643135;KANDYDAT_1;B;60;Maść Konopna 5% CBD 80 ml;Maść Konopna 5% CBD 80 ml;DO_ZAPISU
PROD;GV-86;SKU;207;207;GV-86;5907636994619;KANDYDAT_1;B;114;Żel kasztanowy z rutyną 200 ml;Żel kasztanowy z rutyną 200 ml;DO_ZAPISU
PROD;GV-145;SKU;107;107;GV-145;5903317643272;KANDYDAT_1;B;19;BLIZNA Maść na blizny 20ml;BLIZNA Maść na blizny 20ml;DO_ZAPISU
PROD;GV-56;SKU;143;143;GV-56;5907636994442;KANDYDAT_1;B;58;Maść dla Sportowców 150 ml;Maść dla Sportowców 150 ml;DO_ZAPISU
PROD;GV-24;SKU;95;95;GV-24;5907636994367;KANDYDAT_1;B;3;AloeVera Żel 150 ml;AloeVera Żel 150 ml;DO_ZAPISU
PROD;GV-115;SKU;77;77;GV-115;5907636994961;KANDYDAT_1;B;99;Resveratrol 60 kapsułek;Resveratrol 60 kapsułek;DO_ZAPISU
PROD;GV-103;SKU;35;35;GV-103;5907636994978;KANDYDAT_1;B;30;Citrogreft 60 kapsułek;Citrogreft 60 kapsułek;DO_ZAPISU
PROD;GV-130;SKU;53;53;GV-130;5907636994848;KANDYDAT_1;B;42;Geriafix x60 kapsułek;Geriafix x60 kapsułek;DO_ZAPISU
PROD;GV-128;SKU;75;75;GV-128;5903317643067;KANDYDAT_1;B;87;OSTROPEST 60 kapsułek;OSTROPEST 60 kapsułek;DO_ZAPISU
PROD;GV-102;SKU;83;83;GV-102;5907636994947;KANDYDAT_1;B;103;Spirulina 60 kapsułek;Spirulina 60 kapsułek;DO_ZAPISU
PROD;GV-105;SKU;61;61;GV-105;5907636994954;KANDYDAT_1;B;45;Jarmuż 60 kapsułek;Jarmuż 60 kapsułek;DO_ZAPISU
PROD;GV-90;SKU;214;214;GV-90;5907636994480;KANDYDAT_1;B;119;Żel z Kasztanowcem, Miłorzębem i Babką Lancetowatą 200 ml;Żel z Kasztanowcem, Miłorzębem i Babką Lancetowatą 200 ml;DO_ZAPISU
PROD;GV-64;SKU;173;173;GV-64;5907636994657;KANDYDAT_1;B;73;Maść z Żyworódki 130 ml;Maść z Żyworódki 130 ml;DO_ZAPISU
PROD;GV-67;SKU;185;185;GV-67;5907636994688;KANDYDAT_1;B;88;Panthenol Pianka 100 ml;Panthenol Pianka 100 ml;DO_ZAPISU
PROD;GV-55;SKU;141;141;GV-55;5907636994626;KANDYDAT_1;B;57;Maść Borowinowa 130 ml;Maść Borowinowa 130 ml;DO_ZAPISU
PROD;GV-73;SKU;234;234;GV-73;5907636994787;KANDYDAT_1;B;95;Pneumovit Zatoki 50 ml;Pneumovit Zatoki 50 ml;DO_ZAPISU
PROD;GV-54;SKU;139;139;GV-54;5907636994886;KANDYDAT_1;B;56;Maść Arnikowa 130 ml;Maść Arnikowa 130 ml;DO_ZAPISU
PROD;GV-23;SKU;93;93;GV-23;5907636994893;KANDYDAT_1;B;2;Alantoin Maść 50 ml;Alantoin Maść 50 ml;DO_ZAPISU
PROD;GV-27;SKU;226;226;GV-27;5907636994718;KANDYDAT_1;B;5;APHTIHELP gel 10 g;APHTIHELP gel 10 g;DO_ZAPISU
PROD;GV-32;SKU;99;99;GV-32;5907636994350;KANDYDAT_1;B;10;ArtroŻel 100 ml;ArtroŻel 100 ml;DO_ZAPISU
PROD;GV-147;SKU;209;209;GV-147;5903317643227;KANDYDAT_1;B;115;Żel łagodzący po ukąszeniach owadów 20ml;Żel łagodzący po ukąszeniach owadów 20ml;DO_ZAPISU
PROD;GV-140;SKU;31;31;GV-140;5907636994794;KANDYDAT_1;C;28;Chrom z zieloną herbatą 30 kapsułek;Chrom z zieloną herbatą 30 kapsułek;DO_ZAPISU
PROD;1550;WC_ID;1550;1550;;5903317643296;BEZ_SKU;C;55;Magnez B6 VEGAN 60 kapsułek;Magnez B6 VEGAN 60 kapsułek;DO_ZAPISU
PROD;1549;WC_ID;1549;1549;;5903317643326;BEZ_SKU;C;52;LUTEINA Vegan 60 kapsułek;LUTEINA Vegan 60 kapsułek;DO_ZAPISU
PROD;1486;WC_ID;1486;1486;;5903317643319;BEZ_SKU;C;51;LIBIDO Vegan 60 kapsułek;LIBIDO Vegan 60 kapsułek;DO_ZAPISU
PROD;GV-112;SKU;65;65;GV-112;5907636994039;KANDYDAT_1;C;54;Magnez B6 60 kapsułek;Magnez B6 60 kapsułek;DO_ZAPISU
PROD;GV-95;SKU;218;218;GV-95;5907636994640;KANDYDAT_1;C;123;Żel ze świetlikiem i kolagenem 20 ml;Żel ze świetlikiem i kolagenem 20 ml;DO_ZAPISU
PROD;GV-40;SKU;37;37;GV-40;8594011210012;KANDYDAT_1;C;31;Colacal - kolagen z wapniem 60 kapsułek;Colacal - kolagen z wapniem 60 kapsułek;DO_ZAPISU
PROD;GV-44;SKU;45;45;GV-44;5907636994053;KANDYDAT_1;C;36;Cynk + witamina B6 30 tabletek;Cynk + witamina B6 30 tabletek;DO_ZAPISU
PROD;GV-109;SKU;157;157;GV-109;5907636994398;KANDYDAT_1;C;64;Maść Nagietkowa 130ml;Maść Nagietkowa 130ml;DO_ZAPISU
PROD;GV-69;SKU;230;230;GV-69;5907636994770;KANDYDAT_1;C;90;Pneumovit BABY 35 ml;Pneumovit BABY 35 ml;DO_ZAPISU
PROD;GV-122;SKU;69;69;GV-122;5903317643111;KANDYDAT_1;C;82;Olej z konopii CBD 10% 10ml;Olej z konopii CBD 10% 10ml;DO_ZAPISU
PROD;GV-123;SKU;70;70;GV-123;5903317643128;KANDYDAT_1;C;83;Olej z konopii CBD 10% 20ml;Olej z konopii CBD 10% 20ml;DO_ZAPISU
PROD;GV-124;SKU;71;71;GV-124;5903317643098;KANDYDAT_1;C;84;Olej z konopii CBD 5% 10ml;Olej z konopii CBD 5% 10ml;DO_ZAPISU
PROD;GV-125;SKU;72;72;GV-125;5903317643104;KANDYDAT_1;C;85;Olej z konopii CBD 5% 20ml;Olej z konopii CBD 5% 20ml;DO_ZAPISU
PROD;GV-148;SKU;165;165;GV-148;5903317643265;KANDYDAT_1;C;68;Maść Rumiankowa z olejem CBD 5% 80 ml;Maść Rumiankowa z olejem CBD 5% 80 ml;DO_ZAPISU
PROD;GV-108;SKU;195;195;GV-108;5907636994305;KANDYDAT_1;C;97;RABKA SPA MINERALE spray 200 ml;RABKA SPA MINERALE spray 200 ml;DO_ZAPISU
PROD;GV-114;SKU;23;23;GV-114;5903317643012;KANDYDAT_1;C;20;Calcium Natural 70 kapsułek;Calcium Natural 70 kapsułek;DO_ZAPISU
PROD;GV-30;SKU;97;97;GV-30;5907636994831;AUTO;AUTO;8;ARCACET pianka 100 ml;ARCACET pianka 100 ml;DO_ZAPISU
PROD;GV-127;SKU;21;21;GV-127;5903317643081;AUTO;AUTO;15;BABKA PŁESZNIK mielona 150g;BABKA PŁESZNIK mielona 150g;DO_ZAPISU
PROD;GV-45;SKU;109;109;GV-45;5907636994862;AUTO;AUTO;38;Diabelski (Czarci) Pazur balsam 200 ml;Diabelski (Czarci) Pazur balsam 200 ml;DO_ZAPISU
PROD;GV-57;SKU;145;145;GV-57;5907636994541;AUTO;AUTO;59;Maść Kasztanowa 130 ml;Maść Kasztanowa 130 ml;DO_ZAPISU
PROD;GV-60;SKU;159;159;GV-60;5907636994244;AUTO;AUTO;65;Maść Niedźwiedzi Ząb 200 ml;Maść Niedźwiedzi Ząb 200 ml;DO_ZAPISU
PROD;GV-111;SKU;163;163;GV-111;5903317643029;AUTO;AUTO;67;Maść Rokitnikowa 140ml;Maść Rokitnikowa 140ml;DO_ZAPISU
PROD;GV-100;SKU;167;167;GV-100;5907636994237;AUTO;AUTO;69;Maść Świerkowa 135 ml;Maść Świerkowa 135 ml;DO_ZAPISU
PROD;GV-62;SKU;169;169;GV-62;5907636994633;AUTO;AUTO;71;Maść Witaminowa A,E,F 20ml;Maść Witaminowa A,E,F 20ml;DO_ZAPISU
PROD;GV-99;SKU;181;181;GV-99;5907636994930;AUTO;AUTO;80;Olej Kokosowy w żelu 200 ml;Olej Kokosowy w żelu 200 ml;DO_ZAPISU
PROD;GV-129;SKU;73;73;GV-129;5903317643074;AUTO;AUTO;86;OSTROPEST mielony 150g;OSTROPEST mielony 150g;DO_ZAPISU
PROD;GV-72;SKU;232;232;GV-72;5907636994206;AUTO;AUTO;94;Pneumovit Spray do nosa 35 ml;Pneumovit Spray do nosa 35 ml;DO_ZAPISU
PROD;GV-107;SKU;197;197;GV-107;5907636994374;AUTO;AUTO;98;RABKA SPA MINERALE żel 200 ml;RABKA SPA MINERALE żel 200 ml;DO_ZAPISU
PROD;GV-79;SKU;203;203;GV-79;5907636994343;AUTO;AUTO;107;Zdrowa Stopa Kremo - Żel do stóp 100 ml;Zdrowa Stopa Kremo - Żel do stóp 100 ml;DO_ZAPISU
PROD;GV-84;SKU;91;91;GV-84;5907636994169;AUTO;AUTO;110;Zielony Jęczmień w proszku 100 gram;Zielony Jęczmień w proszku 100 gram;DO_ZAPISU
PROD;GV-85;SKU;205;205;GV-85;5907636994497;AUTO;AUTO;113;Żel Anticelluitis 200 ml;Żel Anticelluitis 200 ml;DO_ZAPISU
PROD;GV-89;SKU;210;210;GV-89;5907636994527;AUTO;AUTO;118;Żel z Arniką i Bursztynem 200 ml;Żel z Arniką i Bursztynem 200 ml;DO_ZAPISU
PROD;GV-92;SKU;212;212;GV-92;5907636994466;AUTO;AUTO;120;Żel z Kasztanowcem 200 ml;Żel z Kasztanowcem 200 ml;DO_ZAPISU
PROD;GV-98;SKU;224;224;GV-98;5907636994916;AUTO;AUTO;126;Żyworódka w Zasypce 50 ml;Żyworódka w Zasypce 50 ml;DO_ZAPISU
PROD;GV-42;SKU;41;41;GV-42;8594011210173;AUTO;AUTO;33;Colafit SLIM z Chitosanem 60 kapsułek;Colafit SLIM z Chitosanem 60 kapsułek;DO_ZAPISU
PROD;GV-134;SKU;27;27;GV-134;5907636994077;AUTO;AUTO;24;CARBOSAL + z czarną jagodą 30 kapsułek;CARBOSAL + z czarną jagodą 30 kapsułek;DO_ZAPISU
PROD;GV-76;SKU;81;81;GV-76;5907636994015;AUTO;AUTO;102;Silicum + H ( KRZEM+ BIOTYNA ) 30 tabletek;Silicum + H ( KRZEM+ BIOTYNA ) 30 tabletek;DO_ZAPISU
PROD;GV-83;SKU;87;87;GV-83;5907636994176;AUTO;AUTO;111;Zielony Jęczmień 120 kapsułek;Zielony Jęczmień 120 kapsułek;DO_ZAPISU
PROD;GV-82;SKU;89;89;GV-82;5907636994732;AUTO;AUTO;112;Zielony Jęczmień 60 kapsułek;Zielony Jęczmień 60 kapsułek;DO_ZAPISU
PROD;GV-35;SKU;19;19;GV-35;5907636994749;AUTO;AUTO;16;Babka Płesznik 60 kapsułek;Babka Płesznik 60 kapsułek;DO_ZAPISU
PROD;GV-81;SKU;85;85;GV-81;5907636994428;AUTO;AUTO;109;Zielona Kawa 60 kapsułek;Zielona Kawa 60 kapsułek;DO_ZAPISU
PROD;GV-31;SKU;16;16;GV-31;5907636994800;AUTO;AUTO;9;ARTREVIT 60 kapsułek;ARTREVIT 60 kapsułek;DO_ZAPISU
PROD;GV-136;SKU;57;57;GV-136;5907636994183;AUTO;AUTO;44;Hepasal 40 kapsułek;Hepasal 40 kapsułek;DO_ZAPISU
PROD;GV-59;SKU;113;113;GV-59;5907636994602;AUTO;AUTO;61;Końska Maść Chłodząca 130 ml;Końska Maść Chłodząca 130 ml;DO_ZAPISU
PROD;GV-87;SKU;189;189;GV-87;5907636994312;AUTO;AUTO;116;Pneumovit Żel 100 ml;Pneumovit Żel 100 ml;DO_ZAPISU
PROD;GV-88;SKU;191;191;GV-88;5907636994213;AUTO;AUTO;117;Pneumovit Żel 200 ml;Pneumovit Żel 200 ml;DO_ZAPISU
PROD;GV-150;SKU;179;179;GV-150;5903317643241;AUTO;AUTO;76;Mosqitos Zestaw Płyn 20ml i Żel 20ml;Mosqitos Zestaw Płyn 20ml i Żel 20ml;DO_ZAPISU
PROD;GV-132;SKU;171;171;GV-132;5903317643180;AUTO;AUTO;72;Maść z kurkumą, nagietkiem i olejem CBD 5% 80 ml;Maść z kurkumą, nagietkiem i olejem CBD 5% 80 ml;DO_ZAPISU
PROD;GV-46;SKU;51;51;GV-46;5907636994091;AUTO;AUTO;41;Erotic dla mężczyzn - afrodyzjak 20 kapsułek;Erotic dla mężczyzn - afrodyzjak 20 kapsułek;DO_ZAPISU
PROD;GV-66;SKU;183;183;GV-66;5907636994329;AUTO;AUTO;81;Olejek Pichtowy 100 ml;Olejek Pichtowy 100 ml;DO_ZAPISU
PROD;GV-47;SKU;49;49;GV-47;5907636994084;AUTO;AUTO;40;Erotic dla kobiet - afrodyzjak 20 kapsułek;Erotic dla kobiet - afrodyzjak 20 kapsułek;DO_ZAPISU
PROD;GV-36;SKU;101;101;GV-36;5907636994664;AUTO;AUTO;17;Balsam do ust z witaminami A,E,F 20 ml;Balsam do ust z witaminami A,E,F 20 ml;DO_ZAPISU
