flaga;metoda;pewnosc;score;lp;ean;bloz;cennik_nazwa;netto_100;vat_cennik;wc_id;wc_sku;wc_nazwa;wc_status;brutto_wc;tax_class;vat_wc;netto_wc;roznica_zl;roznica_pct;brutto_oczek;delta_brutto;vat_zgodny
;NAZWA;NIEPEWNE;0.626;68;5903317643265;7092597;MAŚĆ RUMIANKOWA 80ML;11.30;23%;165;GV-148;Maść Rumiankowa z olejem CBD 5% 80 ml;publish;25.00;standard;23%;20.33;+9.03;+79.9%;13.90;+11.10;T
FALSE_POSITIVE — EAN Chromu trafilby na Apleplus;NAZWA;NIEPEWNE;0.483;28;5907636994794;8471403;CHROM Z ZIELONĄ HERBATĄ X 30 KAPS.;15.80;8%;14;GV-133;Apleplus C,E 30 kapsułek;publish;13.00;reduced-rate;8%;12.04;-3.76;-23.8%;17.06;-4.06;T
;NAZWA;NIEPEWNE;0.77;31;8594011210012;8063401;COLACAL X 60 KAPS.;49.50;8%;37;GV-40;Colacal - kolagen z wapniem 60 kapsułek;publish;51.00;reduced-rate;8%;47.22;-2.28;-4.6%;53.46;-2.46;T
;EAN;PEWNE;1.0;63;5907636994558;7038480;MAŚĆ KOŃSKA ROZGRZEWAJĄCA 130 ML;11.90;23%;2056;5907636994558;Maść Końska Rozgrzewająca 130ml;publish;15.00;reduced-rate;8%;13.89;+1.99;+16.7%;14.64;+0.36;N
ZAMIENIONE z lp55;NAZWA;NIEPEWNE;0.456;54;5907636994039;3012621;MAGNEZ B6 + CYNK x60 KAPS.;11.10;8%;1550;;Magnez B6 VEGAN;publish;14.00;reduced-rate;8%;12.96;+1.86;+16.8%;11.99;+2.01;T
ZAMIENIONE z lp54;NAZWA;NIEPEWNE;0.955;55;5903317643296;4070761;MAGNEZ B6 VEGAN X 60 KAPS.;12.70;8%;65;GV-112;Magnez B6 60 kapsułek;publish;12.00;reduced-rate;8%;11.11;-1.59;-12.5%;13.72;-1.72;T
;NAZWA;NIEPEWNE;0.906;34;5907636994817;8996401;COLAHIAL KOLAGEN X 60 KAPS.;47.50;8%;43;GV-43;Colahial 60 kapsułek;publish;53.00;reduced-rate;8%;49.07;+1.57;+3.3%;51.30;+1.70;T
;EAN;PEWNE;1.0;91;5907636994596;8611401;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x16 pastylek;10.80;23%;2059;5907636994596;Pneumovit Pastylki x16;publish;13.00;reduced-rate;8%;12.04;+1.24;+11.5%;13.28;-0.28;N
PRZESUNIETE — inny wariant niz na prod;NAZWA;NIEPEWNE;0.718;27;5907636994046;6794141;CHROM Z ZIELONĄ HERBATĄ X 30 TAB.;16.90;8%;31;GV-140;Chrom z zieloną herbatą;publish;17.00;reduced-rate;8%;15.74;-1.16;-6.9%;18.25;-1.25;T
;NAZWA;NIEPEWNE;0.931;105;5907636994336;7050118;VENAL ŻEL CHŁODZĄCY 150 ML;19.00;23%;201;GV-78;Venal Żel 150 ml;publish;22.00;standard;23%;17.89;-1.11;-5.9%;23.37;-1.37;T
;EAN;PEWNE;1.0;92;5907636994565;8611402;PNEUMOVIT PASTYLKI DO SSANIA NA GARDŁO x8 pastylek;7.50;23%;2060;5907636994565;Pneumovit Pastylki x8;publish;9.00;reduced-rate;8%;8.33;+0.83;+11.1%;9.22;-0.22;N
;NAZWA;NIEPEWNE;0.75;64;5907636994398;3457861;MAŚĆ NAGIETKOWA;18.00;23%;157;GV-109;Maść Nagietkowa 130ml;publish;23.00;standard;23%;18.70;+0.70;+3.9%;22.14;+0.86;T
;EAN;PEWNE;1.0;77;5903317643258;7091957;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 20ML;5.90;23%;2058;5903317643258;Mosqitos Płyn 20ml;publish;7.00;reduced-rate;8%;6.48;+0.58;+9.9%;7.26;-0.26;N
;NAZWA;NIEPEWNE;0.838;95;5907636994787;9055205;PNEUMOVIT ZATOKI 50ML;16.20;8%;234;GV-73;Pneumovit Zatoki 50 ml;publish;17.00;reduced-rate;8%;15.74;-0.46;-2.8%;17.50;-0.50;T
;EAN;PEWNE;1.0;53;5903317643210;3739421;MAGNEZ B6 + ASHWAGANDHA x60 KAPS.;21.80;8%;2054;5903317643210;Magnez B6 + Ashwagandha x60 kaps.;publish;24.00;reduced-rate;8%;22.22;+0.42;+1.9%;23.54;+0.46;T
;NAZWA;NIEPEWNE;1.15;87;5903317643067;3474462;OSTROPEST x60 kaps.;14.30;8%;75;GV-128;OSTROPEST x60 kaps.;publish;15.00;reduced-rate;8%;13.89;-0.41;-2.9%;15.44;-0.44;T
;EAN;PEWNE;1.0;21;5907636994060;4391352;CARBOCAPS X 30 KAPS.;10.70;8%;2048;5907636994060;Carbocaps x30 kaps.;publish;12.00;reduced-rate;8%;11.11;+0.41;+3.8%;11.56;+0.44;T
;NAZWA;NIEPEWNE;1.134;102;5907636994015;6995901;SILICUM + H (KRZEM+BIOTYNA ) X 30 TAB.;18.00;8%;81;GV-76;Silicum + H ( KRZEM+ BIOTYNA ) 30 tabletek;publish;19.00;reduced-rate;8%;17.59;-0.41;-2.3%;19.44;-0.44;T
;NAZWA;NIEPEWNE;0.775;123;5907636994640;7042945;ŻEL ZE ŚWIETLIKIEM I KOLAGENEM POD OCZY 20ML;12.60;23%;218;GV-95;Żel ze świetlikiem i kolagenem 20 ml;publish;15.00;standard;23%;12.20;-0.40;-3.2%;15.50;-0.50;T
;NAZWA;NIEPEWNE;1.126;109;5907636994428;6999862;ZIELONA KAWA X 60 KAPS.;28.30;8%;85;GV-81;Zielona Kawa 60 kapsułek;publish;31.00;reduced-rate;8%;28.70;+0.40;+1.4%;30.56;+0.44;T
;NAZWA;NIEPEWNE;0.611;52;5903317643326;4071121;LUTEINA VEGAN X 60 KAPS.;20.90;8%;1549;;LUTEINA Vegan;publish;23.00;reduced-rate;8%;21.30;+0.40;+1.9%;22.57;+0.43;T
;EAN;PEWNE;1.0;70;5907636994879;7043460;MAŚĆ WITAMINOWA 50ML;11.80;23%;2069;5907636994879;Maść Witaminowa 50ml;publish;15.00;standard;23%;12.20;+0.40;+3.3%;14.51;+0.49;T
;NAZWA;NIEPEWNE;1.15;80;5907636994930;7068348;OLEJ KOKOSOWY W ŻELU 200 ML;17.50;23%;181;GV-99;Olej Kokosowy w żelu 200 ml;publish;22.00;standard;23%;17.89;+0.39;+2.2%;21.52;+0.48;T
;NAZWA;NIEPEWNE;0.886;42;5907636994848;8996601;GERIAFIX X 60 KAPS.;40.20;8%;53;GV-130;Geriafix x60 kapsułek;publish;43.00;reduced-rate;8%;39.81;-0.39;-1.0%;43.42;-0.42;T
;EAN;PEWNE;1.0;108;5907636994190;8949301;ZDROWE OCZY OCHRONA I REGENERACJA x30 kaps.;15.20;8%;2065;5907636994190;Zdrowe Oczy x30 kaps.;publish;16.00;reduced-rate;8%;14.81;-0.39;-2.5%;16.42;-0.42;T
;EAN;PEWNE;1.0;23;5907636994411;8242802;CARBOSAL + Z CZARNĄ JAGODĄ X 20 KAPS.;9.80;8%;2067;5907636994411;Carbosal + z Czarną Jagodą x20 kaps.;publish;11.00;reduced-rate;8%;10.19;+0.39;+3.9%;10.58;+0.42;T
;NAZWA;NIEPEWNE;1.15;110;5907636994169;3051721;ZIELONY JĘCZMIEŃ W PROSZKU 100 GRAM;27.40;8%;91;GV-84;Zielony Jęczmień w proszku 100 gram;publish;30.00;reduced-rate;8%;27.78;+0.38;+1.4%;29.59;+0.41;T
;EAN;PEWNE;1.0;62;5907636994503;7038473;MAŚĆ KOŃSKA ROZGRZEWAJACA 250ML;16.70;23%;111;5907636994503;Końska Maść 250 ml;publish;21.00;standard;23%;17.07;+0.37;+2.2%;20.54;+0.46;T
;NAZWA;NIEPEWNE;0.985;41;5907636994091;8117701;EROTIC DLA MĘŻCZYZN X 20 KAPS.;30.00;8%;51;GV-46;Erotic dla mężczyzn - afrodyzjak 20 kapsułek;publish;32.00;reduced-rate;8%;29.63;-0.37;-1.2%;32.40;-0.40;T
;NAZWA;NIEPEWNE;0.979;40;5907636994084;8117601;EROTIC DLA KOBIET X 20 KAPS.;30.00;8%;49;GV-47;Erotic dla kobiet - afrodyzjak 20 kapsułek;publish;32.00;reduced-rate;8%;29.63;-0.37;-1.2%;32.40;-0.40;T
;NAZWA;NIEPEWNE;1.05;117;5907636994213;9057978;ŻEL PNEUMOVIT 200 ML;20.00;8%;191;GV-88;Pneumovit Żel 200 ml;publish;22.00;reduced-rate;8%;20.37;+0.37;+1.9%;21.60;+0.40;T
;NAZWA;NIEPEWNE;0.977;17;5907636994664;7045393;BALSAM DO UST Z WITAMINAMI A,E,F 20ML;10.20;23%;101;GV-36;Balsam do ust z witaminami A,E,F 20 ml;publish;13.00;standard;23%;10.57;+0.37;+3.6%;12.55;+0.45;T
;NAZWA;NIEPEWNE;0.739;90;5907636994770;9055206;PNEUMOVIT BABY SPRAY 35ML;16.10;8%;230;GV-69;Pneumovit BABY 35 ml;publish;17.00;reduced-rate;8%;15.74;-0.36;-2.2%;17.39;-0.39;T
;EAN;PEWNE;1.0;125;5907636994923;7053867;ŻYWORÓDKA W PŁYNIE 115 ML;15.80;23%;2071;5907636994923;Żyworódka w Płynie 115ml;publish;19.00;standard;23%;15.45;-0.35;-2.2%;19.43;-0.43;T
;EAN;PEWNE;1.0;12;5903317643043;8061735;ASHWAGANDHA x60 kaps.;23.50;8%;2044;5903317643043;Ashwagandha x60 kaps.;publish;25.00;reduced-rate;8%;23.15;-0.35;-1.5%;25.38;-0.38;T
;NAZWA;NIEPEWNE;0.887;99;5907636994961;8617521;RESVERATROL x60 kaps.;40.40;8%;77;GV-115;Resveratrol 60 kapsułek;publish;44.00;reduced-rate;8%;40.74;+0.34;+0.8%;43.63;+0.37;T
;EAN;PEWNE;1.0;93;5907636994282;7037410;PNEUMOVIT SEPT AEROZOL DO GARDŁA 35 ML;15.40;8%;2061;5907636994282;Pneumovit Sept Aerozol 35ml;publish;17.00;reduced-rate;8%;15.74;+0.34;+2.2%;16.63;+0.37;T
;NAZWA;NIEPEWNE;1.15;15;5903317643081;3677161;BABKA PŁESZNIK MIELONA 150g;15.40;8%;21;GV-127;BABKA PŁESZNIK mielona 150g;publish;17.00;reduced-rate;8%;15.74;+0.34;+2.2%;16.63;+0.37;T
;NAZWA;NIEPEWNE;1.135;24;5907636994077;8242801;CARBOSAL + Z CZARNĄ JAGODĄ X 30 KAPS.;11.70;8%;27;GV-134;CARBOSAL + z czarną jagodą 30 kapsułek;publish;13.00;reduced-rate;8%;12.04;+0.34;+2.9%;12.64;+0.36;T
;NAZWA;NIEPEWNE;1.15;113;5907636994497;7030377;ŻEL ANTICELLUITIS 200 ML;17.40;23%;205;GV-85;Żel Anticelluitis 200 ml;publish;21.00;standard;23%;17.07;-0.33;-1.9%;21.40;-0.40;T
;EAN;PEWNE;1.0;89;5907636994534;7039857;PANTHENOL ŻEL Z ALOESEM I ALANTOINĄ 100 ML;13.50;23%;187;5907636994534;Panthenol Żel 100 ml;publish;17.00;standard;23%;13.82;+0.32;+2.4%;16.61;+0.39;T
;NAZWA;NIEPEWNE;0.839;88;5907636994688;7050905;PANTHENOL PIANKA 100ML;13.50;23%;185;GV-67;Panthenol Pianka 100 ml;publish;17.00;standard;23%;13.82;+0.32;+2.4%;16.61;+0.39;T
;NAZWA;NIEPEWNE;0.886;103;5907636994947;8441653;SPIRULINA x60 kaps.;18.20;8%;83;GV-102;Spirulina 60 kapsułek;publish;20.00;reduced-rate;8%;18.52;+0.32;+1.8%;19.66;+0.34;T
;NAZWA;NIEPEWNE;0.887;3;5907636994367;7042265;ALOE VERA ŻEL 150 ML;18.20;23%;95;GV-24;AloeVera Żel 150 ml;publish;22.00;standard;23%;17.89;-0.31;-1.7%;22.39;-0.39;T
;NAZWA;NIEPEWNE;1.15;126;5907636994916;7051801;ŻYWORÓDKA W ZASYPCE 50 ML;12.70;23%;224;GV-98;Żyworódka w Zasypce 50 ml;publish;16.00;standard;23%;13.01;+0.31;+2.4%;15.62;+0.38;T
;EAN;PEWNE;1.0;43;5907636994404;8351102;GOTU KOLA;17.90;8%;55;5907636994404;GOTU KOLA x60 kapsułek;publish;19.00;reduced-rate;8%;17.59;-0.31;-1.7%;19.33;-0.33;T
;NAZWA;NIEPEWNE;0.836;5;5907636994718;7052008;APHTIHELP GEL 10G;12.50;23%;226;GV-27;APHTIHELP gel 10 g;publish;15.00;standard;23%;12.20;-0.30;-2.4%;15.38;-0.38;T
;EAN;PEWNE;1.0;74;5907636994510;7039472;MAŚĆ ŻYWOKOSTOWA 130 ML;19.00;23%;2070;5907636994510;Maść Żywokostowa 130ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;1.15;118;5907636994527;7032585;ŻEL Z ARNIKĄ I BURSZTYNEM 200 ML;19.00;23%;210;GV-89;Żel z Arniką i Bursztynem 200 ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;0.929;124;5907636994435;7800641;ŻEL ŻYWOKOSTOWY Z JAŁOWCEM I MSM 200ML;19.00;23%;222;GV-96;Żel Żywokostowy z Jałowcem i MSM 200 ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;0.905;121;5907636994473;3302747;ŻEL Z ŻYWOK. I BOSWELLIĄ 200 ML;19.00;23%;220;GV-93;Żel Żywokostowy z Boswellią 200 ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;0.892;114;5907636994619;7041094;ŻEL KASZTANOWY Z RUTYNĄ 200ML;19.00;23%;207;GV-86;Żel kasztanowy z rutyną 200 ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;0.879;119;5907636994480;9541422;ŻEL Z KASZTAN. MIŁORZĘBEM I BABKĄ LANCET. 200 ML;19.00;23%;214;GV-90;Żel z Kasztanowcem, Miłorzębem i Babką Lancetowatą 200 ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;0.839;73;5907636994657;7045860;MAŚĆ Z ŻYWORÓDKI 130ML;19.00;23%;173;GV-64;Maść z Żyworódki 130 ml;publish;23.00;standard;23%;18.70;-0.30;-1.6%;23.37;-0.37;T
;NAZWA;NIEPEWNE;0.721;82;5903317643111;3669261;OLEK Z KONOPI 10% 10ml;154.00;8%;69;GV-122;Olej z konopii CBD 10% 10ml;publish;166.00;reduced-rate;8%;153.70;-0.30;-0.2%;166.32;-0.32;T
;NAZWA;NIEPEWNE;0.721;83;5903317643128;3669262;OLEK Z KONOPI 10% 20ml;296.00;8%;70;GV-123;Olej z konopii CBD 10% 20ml;publish;320.00;reduced-rate;8%;296.30;+0.30;+0.1%;319.68;+0.32;T
;EAN;PEWNE;1.0;32;8594011210111;8063521;COLAFIT KOLAGEN 99,9% X 60 KOSTEK;71.00;8%;39;8594011210111;Colafit 60 kostek;publish;77.00;reduced-rate;8%;71.30;+0.30;+0.4%;76.68;+0.32;T
;NAZWA;NIEPEWNE;1.061;61;5907636994602;7041165;MAŚĆ KOŃSKA CHŁODZĄCA 130 ML;11.90;23%;113;GV-59;Końska Maść Chłodząca 130 ml;publish;15.00;standard;23%;12.20;+0.30;+2.5%;14.64;+0.36;T
;NAZWA;NIEPEWNE;0.767;36;5907636994053;8118501;CYNK + WIT. B6 12 MG X 30 TAB.;15.10;8%;45;GV-44;Cynk + witamina B6 30 tabletek;publish;16.00;reduced-rate;8%;14.81;-0.29;-1.9%;16.31;-0.31;T
;NAZWA;NIEPEWNE;1.131;111;5907636994176;8904002;ZIELONY JĘCZMIEŃ X 120 KAPS.;34.90;8%;87;GV-83;Zielony Jęczmień 120 kapsułek;publish;38.00;reduced-rate;8%;35.19;+0.29;+0.8%;37.69;+0.31;T
